kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	com.github.benmanes.caffeine.cache.FSAW	null	nextInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSAW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSAW	null
FIELD	com.github.benmanes.caffeine.cache.FSAW	null	previousInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSAW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSAW	null
FIELD	com.github.benmanes.caffeine.cache.FSAW	null	nextInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSAW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSAW	null
FIELD	com.github.benmanes.caffeine.cache.FSAW	null	previousInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSAW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSAW	null
FIELD	com.github.benmanes.caffeine.cache.FSAW	null	nextInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSAW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSAW	null
PARAMETER	com.github.benmanes.caffeine.cache.FSAW	setPreviousInWriteOrder(com.github.benmanes.caffeine.cache.Node)	previousInWriteOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSAW.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.FSAW	setPreviousInWriteOrder(com.github.benmanes.caffeine.cache.Node)
PARAMETER	com.github.benmanes.caffeine.cache.FSAW	setNextInWriteOrder(com.github.benmanes.caffeine.cache.Node)	nextInWriteOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSAW.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.FSAW	setNextInWriteOrder(com.github.benmanes.caffeine.cache.Node)
FIELD	com.github.benmanes.caffeine.cache.FSA	null	previousInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSA.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSA	null
FIELD	com.github.benmanes.caffeine.cache.FSA	null	nextInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSA.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSA	null
FIELD	com.github.benmanes.caffeine.cache.FSA	null	previousInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSA.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSA	null
FIELD	com.github.benmanes.caffeine.cache.FSA	null	nextInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSA.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSA	null
FIELD	com.github.benmanes.caffeine.cache.FSA	null	previousInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSA.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSA	null
FIELD	com.github.benmanes.caffeine.cache.FSA	null	nextInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSA.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSA	null
PARAMETER	com.github.benmanes.caffeine.cache.FSA	setPreviousInVariableOrder(com.github.benmanes.caffeine.cache.Node)	previousInAccessOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSA.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.FSA	setPreviousInVariableOrder(com.github.benmanes.caffeine.cache.Node)
